"","x.state","sex","x.race.g1","diabete3"
"33.2",33,3,2,0.106668086895232
"34.2",34,3,2,0.159884304982574
"35.2",35,3,2,0.104929521246582
"36.2",36,3,2,0.149755634214704
"37.2",37,3,2,0.157902811115273
"38.2",38,3,2,0.097127441409539
"39.2",39,3,2,0.131158487197812
"40.2",40,3,2,0.150163389619863
"41.2",41,3,2,0.110122057357412
"42.2",42,3,2,0.148708386165878
"44.2",44,3,2,0.11575319300817
"45.2",45,3,2,0.189032047849219
"46.2",46,3,2,0.122313531044429
"47.2",47,3,2,0.167145027642212
"48.2",48,3,2,0.156766536582657
"49.2",49,3,2,0.151751674923506
"50.2",50,3,2,0.0527188953736136
"51.2",51,3,2,0.165025334151916
"53.2",53,3,2,0.136473433825634
"54.2",54,3,2,0.159603359157578
"55.2",55,3,2,0.13806406417374
"56.2",56,3,2,0.169147863195829
"66.2",66,3,2,0
"72.2",72,3,2,0.136595718114532
"78.2",78,3,2,0.166465763028085
"1.3",1,3,3,0.14096072620015
"2.3",2,3,3,0.0661870679797955
"4.3",4,3,3,0.130187596755489
"5.3",5,3,3,0.127293557154018
"6.3",6,3,3,0.149508785295491
"8.3",8,3,3,0.107459220224203
"9.3",9,3,3,0.144719377549831
"10.3",10,3,3,0.143384987703561
"11.3",11,3,3,0.02965396472798
"12.3",12,3,3,0.131892286176164
"13.3",13,3,3,0.144737142968907
"15.3",15,3,3,0.126479054731174
"16.3",16,3,3,0.109807779601382
"17.3",17,3,3,0.148652501919449
"18.3",18,3,3,0.104948071350544
"19.3",19,3,3,0.0981907000297725
"20.3",20,3,3,0.0920845282029905
