"","fips","sex","x.race.g1","x.rfbmi5"
"2.35.2",35,2,2,0.367874114147707
"3.35.2",35,2,3,0.652727673316088
"4.35.2",35,2,4,0.65570607557012
"5.35.2",35,2,5,0.644942498992309
"1.36.2",36,2,1,0.508916147276655
"2.36.2",36,2,2,0.714126229560664
"3.36.2",36,2,3,0.633028128982211
"4.36.2",36,2,4,0.355469534303861
"5.36.2",36,2,5,0.56503261314791
"1.37.2",37,2,1,0.579842059935149
"2.37.2",37,2,2,0.767180174900246
"3.37.2",37,2,3,0.659479638350527
"4.37.2",37,2,4,0.500246052189335
"5.37.2",37,2,5,0.629182250273846
"1.38.2",38,2,1,0.622296760290988
"2.38.2",38,2,2,0.225803981882762
"3.38.2",38,2,3,0.482164918453853
"4.38.2",38,2,4,0.702860051121905
"5.38.2",38,2,5,0.626489322293095
"1.39.2",39,2,1,0.603343998114201
"2.39.2",39,2,2,0.73997830289417
"3.39.2",39,2,3,0.690619111256532
"4.39.2",39,2,4,0.319307211888429
"5.39.2",39,2,5,0.642567080910439
"1.40.2",40,2,1,0.621048976836774
"2.40.2",40,2,2,0.698447281573448
"3.40.2",40,2,3,0.71242394497072
"4.40.2",40,2,4,0.562432540029976
"5.40.2",40,2,5,0.621804882176689
"1.41.2",41,2,1,0.564423388414348
"2.41.2",41,2,2,0.459787064241863
"3.41.2",41,2,3,0.610198666814718
"4.41.2",41,2,4,0.522844048684752
"5.41.2",41,2,5,0.610506041156266
"1.42.2",42,2,1,0.568323220921248
"2.42.2",42,2,2,0.797417402949569
"3.42.2",42,2,3,0.585618509754555
"4.42.2",42,2,4,0.452617270135937
"5.42.2",42,2,5,0.777955412184599
"1.44.2",44,2,1,0.545654702105096
"2.44.2",44,2,2,0.690765467255924
"3.44.2",44,2,3,0.716255310858919
"4.44.2",44,2,4,0.348878992339108
"5.44.2",44,2,5,0.485948806508342
"1.45.2",45,2,1,0.570376715865951
"2.45.2",45,2,2,0.790422398967206
"3.45.2",45,2,3,0.596056961335508
"4.45.2",45,2,4,0.471395059290205
"5.45.2",45,2,5,0.686599986785689
"1.46.2",46,2,1,0.595432808946975
"2.46.2",46,2,2,0.391850660952265
"3.46.2",46,2,3,0.678441099028321
"4.46.2",46,2,4,0.590584379277569
"5.46.2",46,2,5,0.783482633456754
"1.47.2",47,2,1,0.601053033445877
"2.47.2",47,2,2,0.772867251196984
"3.47.2",47,2,3,0.558508425103425
"4.47.2",47,2,4,0.681330083103838
"5.47.2",47,2,5,0.633056122077018
"1.48.2",48,2,1,0.591615905968886
"2.48.2",48,2,2,0.669053359883525
"3.48.2",48,2,3,0.695950610662903
"4.48.2",48,2,4,0.373068063677393
"5.48.2",48,2,5,0.468259215880132
"1.49.2",49,2,1,0.517377724219745
"2.49.2",49,2,2,0.464095526679681
"3.49.2",49,2,3,0.601658772807129
"4.49.2",49,2,4,0.552497526641215
"5.49.2",49,2,5,0.472417454044503
"1.50.2",50,2,1,0.532912798755082
"2.50.2",50,2,2,0.673484358420352
"3.50.2",50,2,3,0.475013681878838
"4.50.2",50,2,4,0.216084136317043
"5.50.2",50,2,5,0.53843120695558
"1.51.2",51,2,1,0.568094779613651
"2.51.2",51,2,2,0.784728160032092
"3.51.2",51,2,3,0.629034188439532
"4.51.2",51,2,4,0.398654335651871
"5.51.2",51,2,5,0.568722669687757
"1.53.2",53,2,1,0.577260404958302
"2.53.2",53,2,2,0.762152867020671
"3.53.2",53,2,3,0.660243027270563
"4.53.2",53,2,4,0.348366426037528
"5.53.2",53,2,5,0.594591314842556
"1.54.2",54,2,1,0.660020844282521
"2.54.2",54,2,2,0.758502338798993
"3.54.2",54,2,3,0.76515583662247
"4.54.2",54,2,4,0.430658339701782
"5.54.2",54,2,5,0.599856398540897
"1.55.2",55,2,1,0.595185546890284
"2.55.2",55,2,2,0.729424992722852
"3.55.2",55,2,3,0.571970255122448
"4.55.2",55,2,4,0.423873160002275
"5.55.2",55,2,5,0.679304986945355
"1.56.2",56,2,1,0.554794119523663
"2.56.2",56,2,2,0.770037004541602
"3.56.2",56,2,3,0.651842381892988
"4.56.2",56,2,4,0.667457644710531
"5.56.2",56,2,5,0.535558929029018
"1.66.2",66,2,1,0.633719538368842
"2.66.2",66,2,2,0.944839921747987
"3.66.2",66,2,3,0.731816015700361
"4.66.2",66,2,4,0.596259488752606
"5.66.2",66,2,5,0.549460378227973
"1.72.2",72,2,1,0.450371395972257
"2.72.2",72,2,2,0.824789096050024
"3.72.2",72,2,3,0.65005102819038
"4.72.2",72,2,4,0.520703327862529
"1.78.2",78,2,1,0.45828350068109
"2.78.2",78,2,2,0.766264595970812
"3.78.2",78,2,3,0.812618212616791
"4.78.2",78,2,4,0.854531383890383
"5.78.2",78,2,5,0.856664593736902
"1.1",1,3,1,0.685638987210451
"2.1",2,3,1,0.679842844869262
"4.1",4,3,1,0.625769295850264
"5.1",5,3,1,0.678496283170625
"6.1",6,3,1,0.593458120998069
"8.1",8,3,1,0.554980353617349
"9.1",9,3,1,0.606806444584039
"10.1",10,3,1,0.678045411135013
"11.1",11,3,1,0.391969612310671
"12.1",12,3,1,0.620144845234168
"13.1",13,3,1,0.64547258991584
"15.1",15,3,1,0.54674238658086
"16.1",16,3,1,0.647020673096422
"17.1",17,3,1,0.64628379956009
"18.1",18,3,1,0.664554248887514
"19.1",19,3,1,0.688675100444617
"20.1",20,3,1,0.658240175015609
"21.1",21,3,1,0.692487743319511
"22.1",22,3,1,0.664340527245907
"23.1",23,3,1,0.652655934457422
"24.1",24,3,1,0.636194295068356
"25.1",25,3,1,0.5993866184743
"26.1",26,3,1,0.668675637332871
"27.1",27,3,1,0.648327992794138
"28.1",28,3,1,0.679965692181867
"29.1",29,3,1,0.66549297513037
"30.1",30,3,1,0.629455112737645
"31.1",31,3,1,0.679253771255588
"32.1",32,3,1,0.615999728566262
"33.1",33,3,1,0.63986234163694
"34.1",34,3,1,0.623865610889111
"35.1",35,3,1,0.606121445666192
"36.1",36,3,1,0.597968986556946
"37.1",37,3,1,0.64956403964234
"38.1",38,3,1,0.691904337665782
"39.1",39,3,1,0.661246566653318
"40.1",40,3,1,0.683475058940751
"41.1",41,3,1,0.623428993517363
"42.1",42,3,1,0.655817461873518
"44.1",44,3,1,0.62420606556575
"45.1",45,3,1,0.647806017900471
"46.1",46,3,1,0.670717093633611
"47.1",47,3,1,0.679700625136006
"48.1",48,3,1,0.661830328207284
"49.1",49,3,1,0.597946983780523
"50.1",50,3,1,0.621257066233652
"51.1",51,3,1,0.639698966941632
"53.1",53,3,1,0.646601640315781
"54.1",54,3,1,0.709372634274494
"55.1",55,3,1,0.668803517465317
"56.1",56,3,1,0.638778879648411
"66.1",66,3,1,0.740511383755627
"72.1",72,3,1,0.527471001181871
"78.1",78,3,1,0.561497716922805
"1.2",1,3,2,0.746046627547532
"2.2",2,3,2,0.741621442579581
"4.2",4,3,2,0.565043895403635
"5.2",5,3,2,0.75064092069421
"6.2",6,3,2,0.666115104518185
"8.2",8,3,2,0.667344755486145
"9.2",9,3,2,0.70208137292931
"10.2",10,3,2,0.739938102378753
"11.2",11,3,2,0.686599685403667
"12.2",12,3,2,0.666501560541291
"13.2",13,3,2,0.703339828392433
"15.2",15,3,2,0.721008060583762
"16.2",16,3,2,0.241154469419377
"17.2",17,3,2,0.736485373404205
"18.2",18,3,2,0.768060254511677
"19.2",19,3,2,0.713213128948974
"20.2",20,3,2,0.788412778388048
"21.2",21,3,2,0.733798399444655
"22.2",22,3,2,0.753943742200804
"23.2",23,3,2,0.6615282349336
"24.2",24,3,2,0.71780537045494
"25.2",25,3,2,0.664055863571216
"26.2",26,3,2,0.743042341971705
"27.2",27,3,2,0.667167051839418
"28.2",28,3,2,0.779419860966289
"29.2",29,3,2,0.749042693303111
"30.2",30,3,2,0.492665221202787
"31.2",31,3,2,0.724289795527695
"32.2",32,3,2,0.724970524981293
"33.2",33,3,2,0.703679705523016
"34.2",34,3,2,0.736537063422918
"35.2",35,3,2,0.486694420685686
"36.2",36,3,2,0.699370597152907
"37.2",37,3,2,0.759658763881534
"38.2",38,3,2,0.358894879588638
"39.2",39,3,2,0.713946998643808
"40.2",40,3,2,0.758186068440434
"41.2",41,3,2,0.770989667651908
"42.2",42,3,2,0.729927965277852
"44.2",44,3,2,0.660812176256795
"45.2",45,3,2,0.758893284525763
"46.2",46,3,2,0.492682007518794
"47.2",47,3,2,0.749182969793604
"48.2",48,3,2,0.712511878783277
"49.2",49,3,2,0.581940151094806
"50.2",50,3,2,0.674604411549212
"51.2",51,3,2,0.761473206488537
"53.2",53,3,2,0.703476911055047
"54.2",54,3,2,0.780246761020842
"55.2",55,3,2,0.696596008348905
"56.2",56,3,2,0.606123731723692
"66.2",66,3,2,0.788844765258042
"72.2",72,3,2,0.710961937047776
"78.2",78,3,2,0.657348323186423
"1.3",1,3,3,0.667779576999334
"2.3",2,3,3,0.680691604387668
"4.3",4,3,3,0.681476380951122
"5.3",5,3,3,0.605442579039481
"6.3",6,3,3,0.715028408052691
"8.3",8,3,3,0.678538333974766
"9.3",9,3,3,0.690461959533841
"10.3",10,3,3,0.638415657226066
"11.3",11,3,3,0.506189720945371
"12.3",12,3,3,0.676289777519035
"13.3",13,3,3,0.705622624772513
"15.3",15,3,3,0.631281258070426
"16.3",16,3,3,0.698044138981367
"17.3",17,3,3,0.693141945598507
"18.3",18,3,3,0.678188233934877
"19.3",19,3,3,0.659997496528635
"20.3",20,3,3,0.731510672742667
"21.3",21,3,3,0.62699187357482
"22.3",22,3,3,0.693218343861345
"23.3",23,3,3,0.667738849374797
"24.3",24,3,3,0.668353019472809
"25.3",25,3,3,0.660906075322018
"26.3",26,3,3,0.720653815449658
"27.3",27,3,3,0.725226938574278
