"","fips","sex","x.race.g1","variable","value"
"561",35,1,3,"x.michd",0.077002118
"562",35,1,4,"x.michd",0.080674461
"563",35,1,5,"x.michd",0.056658869
"564",35,1,6,"x.michd",0.081558205
"565",35,2,1,"x.michd",0.0646993
"566",35,2,2,"x.michd",0.03011956
"567",35,2,3,"x.michd",0.058537439
"568",35,2,4,"x.michd",0.039489737
"569",35,2,5,"x.michd",0
"570",35,2,6,"x.michd",0.058093449
"571",35,3,1,"x.michd",0.077821076
"572",35,3,2,"x.michd",0.015449252
"573",35,3,3,"x.michd",0.067678974
"574",35,3,4,"x.michd",0.058092012
"575",35,3,5,"x.michd",0.039885277
"576",35,3,6,"x.michd",0.069542313
"577",36,1,1,"x.michd",0.080455353
"578",36,1,2,"x.michd",0.051463485
"579",36,1,3,"x.michd",0.042343699
"580",36,1,4,"x.michd",0.073203147
"581",36,1,5,"x.michd",0.080296305
"582",36,1,6,"x.michd",0.069003102
"583",36,2,1,"x.michd",0.054658304
"584",36,2,2,"x.michd",0.054256239
"585",36,2,3,"x.michd",0.058819328
"586",36,2,4,"x.michd",0.022949663
"587",36,2,5,"x.michd",0.089607481
"588",36,2,6,"x.michd",0.052739891
"589",36,3,1,"x.michd",0.067109599
"590",36,3,2,"x.michd",0.052998289
"591",36,3,3,"x.michd",0.050803249
"592",36,3,4,"x.michd",0.046702042
"593",36,3,5,"x.michd",0.085005202
"594",36,3,6,"x.michd",0.060513291
"595",37,1,1,"x.michd",0.096892818
"596",37,1,2,"x.michd",0.077799384
"597",37,1,3,"x.michd",0.03025459
"598",37,1,4,"x.michd",0.032143886
"599",37,1,5,"x.michd",0.053110651
"600",37,1,6,"x.michd",0.084195264
"601",37,2,1,"x.michd",0.060686556
"602",37,2,2,"x.michd",0.066527956
"603",37,2,3,"x.michd",0.036078538
"604",37,2,4,"x.michd",0.048283896
"605",37,2,5,"x.michd",0.042391796
"606",37,2,6,"x.michd",0.059521431
"607",37,3,1,"x.michd",0.078132834
"608",37,3,2,"x.michd",0.071588163
"609",37,3,3,"x.michd",0.033137157
"610",37,3,4,"x.michd",0.03928902
"611",37,3,5,"x.michd",0.047016752
"612",37,3,6,"x.michd",0.071354492
"613",38,1,1,"x.michd",0.080808803
"614",38,1,2,"x.michd",0.064262378
"615",38,1,3,"x.michd",0.135991043
"616",38,1,4,"x.michd",0.073348525
"617",38,1,5,"x.michd",0.021244298
"618",38,1,6,"x.michd",0.080198239
"619",38,2,1,"x.michd",0.046920115
"620",38,2,2,"x.michd",0
"621",38,2,3,"x.michd",0.035935804
"622",38,2,4,"x.michd",0.089429247
"623",38,2,5,"x.michd",0.100208793
"624",38,2,6,"x.michd",0.04960604
"625",38,3,1,"x.michd",0.064220942
"626",38,3,2,"x.michd",0.040471286
"627",38,3,3,"x.michd",0.089518284
"628",38,3,4,"x.michd",0.082377219
"629",38,3,5,"x.michd",0.057624541
"630",38,3,6,"x.michd",0.065210873
"631",39,1,1,"x.michd",0.098952738
"632",39,1,2,"x.michd",0.077887188
"633",39,1,3,"x.michd",0.027750963
"634",39,1,4,"x.michd",0.035891552
"635",39,1,5,"x.michd",0.039860142
"636",39,1,6,"x.michd",0.092038754
"637",39,2,1,"x.michd",0.059415353
"638",39,2,2,"x.michd",0.04634861
"639",39,2,3,"x.michd",0.015810988
"640",39,2,4,"x.michd",0.048118347
"641",39,2,5,"x.michd",0.065134403
"642",39,2,6,"x.michd",0.056439427
"643",39,3,1,"x.michd",0.078496341
"644",39,3,2,"x.michd",0.060985063
"645",39,3,3,"x.michd",0.021224935
"646",39,3,4,"x.michd",0.040674523
"647",39,3,5,"x.michd",0.055873364
"648",39,3,6,"x.michd",0.073565376
"649",40,1,1,"x.michd",0.107123338
"650",40,1,2,"x.michd",0.088709901
"651",40,1,3,"x.michd",0.02111905
"652",40,1,4,"x.michd",0.081497822
"653",40,1,5,"x.michd",0.136809024
"654",40,1,6,"x.michd",0.097010524
"655",40,2,1,"x.michd",0.061317551
"656",40,2,2,"x.michd",0.038264992
"657",40,2,3,"x.michd",0.045896192
"658",40,2,4,"x.michd",0.071509534
"659",40,2,5,"x.michd",0.072164299
"660",40,2,6,"x.michd",0.05975941
"661",40,3,1,"x.michd",0.083446828
